short_id,id,first_name,last_name,phone,languages,stage
3,1fad146d-95eb-4f09-9e9a-d84ee9ffcfaf,Oleg,Nowak,+420799526300,pl,Виза
5,42ebc1e8-409a-4b33-bfad-7703b79aa122,Max,Smith,+420718885423,uk,Виза
66,7574dc41-ee92-4a1b-a7ae-95ec57e55b29,A,B,,,Новый
67,2befccc0-fef9-4bc0-bed0-504c6409c20c,A,B,,,Новый
9,c71fc2df-e20c-4ca2-96d2-88781e0be2d3,Pavel,Sidorov,+420753451994,en,Виза
12,cfd65e86-b4ea-4d8a-9027-97522604cf68,Marta,Novak,+420717859827,ru,Красная бумага заказана
13,7f9a992f-18c7-4326-ae71-36fca37deebe,Sam,Johnson,+420751002800,en,Виза
14,e8b9ea80-f87d-4e9e-99fb-dde16f62015a,Pavel,Sidorov,+420799991857,pl,На базе клиента
15,dda93323-ef9f-4569-a867-d471b2342d7b,Pavel,Smith,+420717857221,,Трудоустроен
16,9639bf7b-eb1a-4fb4-8389-3d7941d450c8,Max,Ivanov,+420770996612,,Планируем приезд
17,d00c2778-5fad-440c-b92b-34e5e5af1353,Ryan,Lee,+420746372285,,Трудоустроен
18,3e0d6fe5-a4a5-4676-a745-4e67b414d24d,Pavel,Petrov,+420757595215,uk,Готов к выезду
1,64db2dfd-c5bc-4d87-bab7-15a3a3e01028,Ivan,Sidorov,+420741104468,pl,Виза
2,55c1ecea-bf0c-4d88-8766-866d88312d60,Pavel,Kowalski,+420711802782,en,Виза
4,331e4312-fe6d-4351-9e85-c2f93f2ae85e,Kate,Petrov,+420791299062,en,Виза
19,9bccccb2-4dc2-433a-be38-6b7a28a7dba2,Alex,Nowak,+420738761926,,Отклонён
20,3d557590-f70b-44c8-80da-60e09d6501d7,Pavel,Johnson,+420782106296,uk,Виза
21,15537848-935b-4302-9964-f9d91eb267bb,Alex,Smith,+420737328059,,Заказ разрешения
22,16b312ee-5cbb-42af-96b3-92d347a27e6d,Oleg,Sidorov,+420738815062,ru,Документы получены
24,52562243-0f42-4c26-a031-f4d9531094d2,Max,Ivanov,+420717448751,uk,Виза
40,30f160a9-d1c3-406f-8c97-0d44a6986279,Alex,Novak,+420734554621,ru,Красная бумага заказана
41,11b77c9d-1b60-476c-8014-abfb8c635319,Max,Nowak,+420746365676,,Красная бумага заказана
42,5f9f94cb-6a5f-4979-bc4a-bc79e11d11f9,Pavel,Ivanov,+420764754921,uk,Виза
43,c3b5ea38-0228-4232-b342-4b3196b78858,Kate,Brown,+420781959366,,Документы получены
44,ff7195f6-eea8-43bf-88ba-fb5d2d7dfb32,Nina,Ivanov,+420716061816,pl,Контакт установлен
45,39ecfd6e-99bc-49b4-bb45-024d692c2b2d,Oleg,Petrov,+420722832897,pl,Заказ разрешения
46,570ba2fa-3117-4654-88d6-52bd3409c44c,Sam,Sidorov,+420777282478,ru,Новый
47,c748a7cb-ef49-4bb4-8b2c-7e70cff375b2,Max,Lee,+420752096253,en,Виза
48,1e9c2911-26f1-4bf8-8d93-f562d1e63ebe,Ryan,Sidorov,+420712034107,en,Виза
49,90fcdf69-b41d-414c-968a-38a65227af46,Kate,Kowalski,+420735441240,uk,Красная бумага заказана
50,29a90fe5-26f9-467e-a925-863f0fe95ff8,Alex,Lee,+420798129893,,Контакт установлен
51,f9133bb2-4566-459b-bb24-a9949c66d6bd,Ivan,Petrov,+420700000001,ru|en,Виза
52,b4a60542-1b21-48ac-aaa5-d49f472a3c42,Nina,Ivanov,+420790725951,ru,Отклонён
53,be9ea376-57ab-4551-9b69-c79b3795c9e0,Kate,Nowak,+420775745464,ru,Ожидаем документы
54,3ded5384-90fd-41c3-b494-161709744074,Ivan,Nowak,+420784102115,,На базе клиента
55,753df358-7133-4089-87f1-7eeca86d8b51,Max,Ivanov,+420788446390,,Ожидаем документы
56,a1fa4f77-a38e-406b-81a9-527ff6a95f8b,Pavel,Sidorov,+420725942536,pl,На базе клиента
57,c52ff211-c6b5-4b2f-89ff-e6e38280375b,Pavel,Lee,+420734631294,uk,На базе клиента
61,322c09d2-a3d0-41da-afe7-69cdf45ddb3c,Ryan,Johnson,+420794273365,pl,Отклонён
63,dfcdfad7-c348-48cf-aca9-688cc9ec3e64,Demo,User,+420700000009,ru,Готов к выезду
64,7d89ae80-6361-4189-9eee-67b6cdf0995c,Demo,Card,+420700000777,en|ru,Новый
68,aea4419e-dabf-47dc-91c0-4f69703ab7b0,Admin,Test,+420700000001,ru,Новый
69,263af629-b838-4683-b0d7-3a619b0821c2,Admin,Test,+420700000001,ru,Новый
70,6317be91-be4f-4c8e-8f61-d10bbac39d26,Manager,Test,+420700000002,pl,Новый
71,0e28a6b2-47f5-4438-a285-a852d445d9f9,Viewer,Test,+420700000003,en,Новый
72,314e7410-7154-479a-bda2-9c7e3c2f2a43,Admin,Test,+420700000001,ru,Новый
73,d363bb4e-30ec-4608-ba0a-33cfbe0d1259,Manager,Test,+420700000002,pl,Новый
74,71784537-86c0-4091-af19-7008ea5928ec,Viewer,Test,+420700000003,en,Новый
75,f7d37301-95a9-42b8-a556-800436a1a5e2,AdminRole,Test,+420700000100,ru,Новый
83,0b6d5a17-9fd1-4cd7-b679-b62a3ceeec13,Ivan,Kovalenko,+380971112233,pl|ru,Новый
